title,console,brand,genre,publisher,developer,critic_score,total_sales,na_sales,jp_sales,eu_sales,pal_sales,other_sales,release_date,decade
NASCAR '14,PS3,Sony,Racing,Deep Silver,Unknown,,0.1,0.09,0.0,0.0,0.0,0.01,2014,2010
Risen 3: Titan Lords,PS3,Sony,Role-Playing,Deep Silver,Unknown,,0.1,0.02,0.0,0.06,0.0,0.02,2014,2010
The Wolf Among Us,PS3,Sony,Adventure,Telltale Games,Unknown,,0.1,0.05,0.0,0.03,0.0,0.02,2014,2010
Yaiba: Ninja Gaiden Z,PS3,Sony,Action,Tecmo Koei,Unknown,,0.1,0.05,0.0,0.04,0.0,0.02,2014,2010
Natural Doctrine,PS4,Sony,Role-Playing,Nippon Ichi Software,Unknown,,0.1,0.05,0.02,0.02,0.0,0.01,2014,2010
Fate/hollow ataraxia,PSV,Sony,Adventure,Type-Moon,Unknown,,0.1,0.0,0.1,0.0,0.0,0.0,2014,2010
Castlevania: Lords of Shadow 2,X360,Microsoft,Action,Konami Digital Entertainment,Unknown,,0.1,0.02,0.0,0.07,0.0,0.01,2014,2010
GRID Autosport,X360,Microsoft,Racing,Codemasters,Unknown,,0.1,0.03,0.0,0.06,0.0,0.01,2014,2010
Wasteland 2,PC,PC,Role-Playing,inXile Entertainment,Unknown,,0.1,0.02,0.0,0.06,0.0,0.01,2015,2010
Adventure Time: Finn & Jake Investigations,PS3,Sony,Action,Little Orbit,Unknown,,0.1,0.02,0.0,0.07,0.0,0.02,2015,2010
Sword Art Online: Lost Song,PS3,Sony,Role-Playing,Namco Bandai Games,Unknown,,0.1,0.0,0.1,0.0,0.0,0.0,2015,2010
Atelier Sophie: The Alchemist of the Mysterious Book,PS4,Sony,Role-Playing,Tecmo Koei,Unknown,,0.1,0.01,0.06,0.02,0.0,0.01,2015,2010
Earth Defense Force 2025.1: The Shadow of New Despair,PS4,Sony,Action,D3Publisher,Unknown,,0.1,0.0,0.1,0.0,0.0,0.0,2015,2010
God Eater 2: Rage Burst,PS4,Sony,Role-Playing,Namco Bandai Games,Unknown,,0.1,0.0,0.09,0.01,0.0,0.0,2015,2010
Ultra Street Fighter IV,PS4,Sony,Fighting,Capcom,Unknown,,0.1,0.0,0.0,0.08,0.0,0.01,2015,2010
Wasteland 2,PS4,Sony,Role-Playing,Deep Silver,Unknown,,0.1,0.07,0.01,0.0,0.0,0.02,2015,2010
Taiko no Tatsujin: V Version,PSV,Sony,Action,Namco Bandai Games,Unknown,,0.1,0.0,0.1,0.0,0.0,0.0,2015,2010
NBA Live 16,XOne,Microsoft,Sports,Electronic Arts,Unknown,,0.1,0.08,0.0,0.01,0.0,0.01,2015,2010
Pro Evolution Soccer 2016,XOne,Microsoft,Sports,Konami Digital Entertainment,Unknown,,0.1,0.03,0.0,0.06,0.0,0.01,2015,2010
Resident Evil: Revelations 2,XOne,Microsoft,Action,Capcom,Unknown,,0.1,0.07,0.0,0.02,0.0,0.01,2015,2010
Ride,XOne,Microsoft,Racing,Milestone S.r.l.,Unknown,,0.1,0.04,0.0,0.05,0.0,0.01,2015,2010
Zombie Army Trilogy,XOne,Microsoft,Shooter,Rebellion Developments,Unknown,,0.1,0.04,0.0,0.05,0.0,0.01,2015,2010
Rise of the Tomb Raider,PC,PC,Adventure,Square Enix,Unknown,,0.1,0.0,0.0,0.09,0.0,0.01,2016,2010
Total War: WARHAMMER,PC,PC,Strategy,Sega,Unknown,,0.1,0.0,0.0,0.1,0.0,0.01,2016,2010
Persona 5,PS3,Sony,Role-Playing,Unknown,Unknown,,0.1,0.0,0.1,0.0,0.0,0.0,2016,2010
ReCore,XOne,Microsoft,Action,Microsoft Game Studios,Unknown,,0.1,0.06,0.0,0.03,0.0,0.01,2016,2010
SVC Chaos: SNK vs. Capcom,XB,Microsoft,Fighting,SNK,SNK Corporation,,0.1,0.08,0.0,0.0,0.02,0.0,2004,2000
Atsumare! Power Pro Kun no DS Koushien,DS,Nintendo,Sports,Konami,PawaPuro Production,,0.1,0.0,0.1,0.0,0.0,0.0,2006,2000
